data_type,udt_name,column_name,tablename
timestamp with time zone,timestamptz,created,user_aws
integer,int4,created_by,user_aws
USER-DEFINED,citext,customer_identifier,user_aws
USER-DEFINED,citext,product_code,user_aws
USER-DEFINED,citext,subscription_state,user_aws
timestamp with time zone,timestamptz,updated,user_aws
integer,int4,updated_by,user_aws
integer,int4,user_id,user_aws
USER-DEFINED,citext,uuid,user_aws
integer,int4,id,user_aws
character varying,varchar,accession_number,study_deleted
character varying,varchar,callback_url,study_deleted
bigint,int8,compressed_size,study_deleted
timestamp with time zone,timestamptz,created,study_deleted
integer,int4,created_by,study_deleted
USER-DEFINED,hstore,customfields,study_deleted
timestamp with time zone,timestamptz,deleted,study_deleted
integer,int4,deleted_by,study_deleted
character varying,varchar,destination_ae_title,study_deleted
integer,int4,engine_id,study_deleted
USER-DEFINED,citext,integration_key,study_deleted
USER-DEFINED,citext,medical_record_locator,study_deleted
USER-DEFINED,citext,modality,study_deleted
integer,int4,node_id,study_deleted
USER-DEFINED,citext,patient_additional_history,study_deleted
USER-DEFINED,citext,patient_address,study_deleted
USER-DEFINED,citext,patient_age,study_deleted
USER-DEFINED,citext,patient_birth_date,study_deleted
USER-DEFINED,citext,patient_birth_time,study_deleted
USER-DEFINED,citext,patient_birthname,study_deleted
USER-DEFINED,citext,patient_comments,study_deleted
USER-DEFINED,citext,patient_current_location,study_deleted
USER-DEFINED,citext,patient_ethnic_group,study_deleted
USER-DEFINED,citext,patient_institution_residence,study_deleted
USER-DEFINED,citext,patient_mother_birthname,study_deleted
USER-DEFINED,citext,patient_name,study_deleted
USER-DEFINED,citext,patient_name_other,study_deleted
USER-DEFINED,citext,patient_occupation,study_deleted
USER-DEFINED,citext,patient_phone,study_deleted
USER-DEFINED,citext,patient_religious_preference,study_deleted
USER-DEFINED,citext,patient_sex,study_deleted
USER-DEFINED,citext,patient_size,study_deleted
USER-DEFINED,citext,patient_weight,study_deleted
USER-DEFINED,citext,patientid,study_deleted
USER-DEFINED,citext,patientid_other,study_deleted
